# hmc_time, hmcn_time, smd_time, smdn_time, xy_time, xyn_time, xysmd_time, xysmdn_time
195.850000,168.622000,223.593000,236.515000,352.674000,342.693000,370.518000,400.769000
223.705000,192.801000,289.521000,310.608000,398.219000,428.963000,518.597000,530.408000
252.261000,216.864000,358.347000,380.108000,486.447000,474.840000,612.318000,659.541000
280.831000,241.708000,425.193000,453.302000,562.941000,546.662000,789.767000,782.507000
306.840000,267.660000,494.464000,528.679000,768.014000,758.116000,933.533000,925.008000
334.662000,327.764000,923.734000,610.298000,782.123000,763.354000,1123.150000,1068.790000
419.652000,365.574000,1104.600000,815.917000,1073.180000,1114.940000,1581.160000,1560.680000
558.907000,537.153000,1552.090000,1358.150000,1540.190000,1529.640000,2172.850000,2385.060000
697.072000,790.818000,1970.970000,1697.660000,1749.270000,1907.680000,3009.440000,2977.310000
973.199000,869.075000,2343.050000,2282.580000,2389.160000,2377.100000,3996.680000,3729.090000
1249.450000,1118.130000,3295.960000,3570.010000,3748.340000,3609.780000,5875.750000,4981.350000
1526.940000,1359.290000,4948.930000,4614.990000,4223.140000,4201.250000,6992.760000,6145.480000
