# hmc_tauint, hmcn_tauint, smd_tauint, smdn_tauint, xy_tauint, xyn_tauint, xysmd_tauint, xysmdn_tauint
270.099000,27.259700,182.165000,11.984300,23.062500,20.398800,17.559400,12.712100
51.318600,39.926400,40.004800,24.375200,21.909400,20.771300,14.512300,12.913200
50.620300,41.769600,31.245700,24.792100,23.350300,23.804300,13.953500,12.562700
47.833700,45.159600,27.680400,23.400100,21.368000,21.075900,12.913800,12.873100
51.222900,43.756800,24.431900,22.716600,21.638500,21.137900,12.358500,12.492300
48.149600,44.322900,27.950900,23.868100,20.194100,21.729000,12.059300,12.403500
47.386700,46.664200,23.479200,24.641200,22.321100,20.671400,12.990500,12.937800
49.069400,45.769300,24.543500,23.958700,22.228300,21.676500,12.760400,14.681400
46.771700,45.894300,27.134400,23.601900,21.214000,21.115400,12.807900,12.306400
45.317600,44.762900,25.739800,24.433400,21.793300,21.186400,12.239200,11.896900
44.638300,45.098700,21.907200,23.299100,21.519300,21.915000,12.557200,12.675400
45.432500,44.520500,23.372700,22.666800,22.242600,21.423400,11.687100,12.707500
